hospital,emergency_cases,avg_stay,avg_cost
"Williams and Hensley Hernandez,",1,7.0,8046.00
"Atkinson Ltd",1,4.0,39814.00
"Tucker Larsen, Simmons and",1,19.0,21417.00
Gibson-Meyer,1,30.0,47483.00
Cook-Gibson,1,4.0,38272.00
"and Gonzalez Jenkins, Stone",1,23.0,41531.00
"Chavez Group",1,6.0,8843.00
"Henry, Hardin Rodriguez and",1,16.0,14806.00
"and Swanson Mejia Lawson,",1,12.0,24003.00
"Hodge Group",1,17.0,47203.00
"Romero Dyer, Jackson and",1,19.0,47477.00
"and Ferguson Anderson Benjamin,",1,16.0,32877.00
Baker-Ortiz,1,26.0,41754.00
Willis-Park,1,30.0,32252.00
"Hernandez and Erickson May,",1,29.0,10494.00
Figueroa-Thompson,1,13.0,20785.00
"Jimenez and Le, Wilson",1,11.0,9120.00
"Wolfe, and Mason Campbell",1,13.0,4167.00
Mccarty-Wilson,1,27.0,4330.00
Miller-Patterson,1,23.0,38605.00
"Rodriguez Graves, and Pennington",1,18.0,26971.00
"Henderson and Sons",1,22.0,17024.00
"and Ortiz Murphy Dodson,",1,27.0,2608.00
"Whitaker and Bell Solis,",1,24.0,45970.00
"Davis, Peck and Moreno",1,4.0,43532.00
Sheppard-Ramirez,1,4.0,27846.00
Walker-Price,1,29.0,1261.00
"Group Barry",1,11.0,19014.00
"Jones and Shah Stewart,",1,1.0,45873.00
"Smith, Fleming Frost and",1,15.0,25895.00
"Cain LLC",1,10.0,6286.00
"Carter and Cole, Gutierrez",1,4.0,11351.00
"Berg George Wilcox, and",1,7.0,35722.00
Martinez-Owens,1,27.0,25839.00
"Group Humphrey",1,21.0,36961.00
"Inc King",1,25.0,4028.00
Porter-Perez,1,24.0,24193.00
Carter-Harris,1,11.0,19407.00
"Frank Inc",1,13.0,36454.00
"Mendoza Sons and",1,8.0,35164.00
"Figueroa Hawkins and Zimmerman,",1,29.0,7121.00
"Pace and Munoz Chavez,",1,19.0,28586.00
"Perry Lopez, White and",1,21.0,10305.00
"Meyers, Reed and Daniels",1,7.0,48309.00
Bryant-Price,1,14.0,10078.00
"Palmer Taylor, Burgess and",1,3.0,7024.00
"Jackson Clark, and May",1,4.0,39540.00
Ross-Combs,1,21.0,43666.00
"LLC Ward",1,18.0,15581.00
Mathews-Ortiz,1,28.0,33231.00
"Jensen, Walsh and Scott",1,7.0,18946.00
Gutierrez-Long,1,13.0,28455.00
"Moran Smith and Galloway,",1,26.0,42210.00
Long-Cantrell,1,10.0,25068.00
"Mosley Levine and Thomas,",1,14.0,43713.00
"Jones, Bradshaw Jones and",1,10.0,44215.00
"Livingston Jennings and Griffin,",1,27.0,2036.00
"Green and Kelly, Kline",1,28.0,10323.00
"Sons Anderson and",1,2.0,10357.00
Hill-Wilson,1,3.0,44967.00
"Rodriguez Wilcox, and Chase",1,19.0,41238.00
"and Williams, Brown Mckenzie",1,11.0,24747.00
"and Baker, Combs Hill",1,27.0,11383.00
Bell-Long,1,18.0,42375.00
"Garza Jordan Harrington, and",1,29.0,37822.00
Ramirez-Fuller,1,14.0,47512.00
May-Estrada,1,22.0,40854.00
Johnson-Russo,1,24.0,15958.00
"Johns Ltd",1,5.0,25507.00
Abbott-Coleman,1,5.0,19752.00
Fritz-Garcia,1,2.0,29841.00
Salazar-Young,1,27.0,1120.00
Snyder-Lopez,1,6.0,11094.00
White-Fry,1,17.0,28641.00
"Moore, Carr Kramer and",1,15.0,10256.00
Smith-Dodson,1,3.0,47997.00
Sloan-Johnson,1,29.0,14255.00
"Long Group",1,3.0,6138.00
"Bailey Beck and Riley,",1,14.0,29101.00
"and Griffin, Garcia Carney",1,11.0,5922.00
Long-Porter,1,23.0,13315.00
"and Humphrey, Moore Williams",1,3.0,25610.00
"Ramirez LLC",1,30.0,16284.00
"Rangel, and Diaz Hayes",1,19.0,27046.00
"and Gutierrez Dennis, Carpenter",1,13.0,29615.00
Macias-Garcia,1,18.0,32958.00
Harper-Hampton,1,24.0,47542.00
Moody-Sawyer,1,14.0,39114.00
Larson-Roberts,1,16.0,41796.00
"and Evans Myers Miller,",1,19.0,41956.00
"Pennington Wagner and Freeman,",1,1.0,6076.00
Thompson-Harper,1,23.0,36127.00
"Jones Ward Lawrence, and",1,10.0,28973.00
"Singh Burns, and Pierce",1,10.0,48265.00
"Kennedy, and Burke Lewis",1,11.0,20029.00
"Rodriguez, Carroll Parker and",1,22.0,17660.00
"Group Garner",1,14.0,950.00
"and Fisher Robinson Cole,",1,4.0,34925.00
"Escobar and Anderson, Martin",1,8.0,38827.00
"and Olson Edwards Davis,",1,28.0,20084.00
Norton-Higgins,1,7.0,41121.00
Contreras-Hancock,1,10.0,22474.00
"Baker, Arellano Diaz and",1,16.0,37181.00
Rush-Villarreal,1,26.0,19685.00
Allison-Walters,1,12.0,15049.00
Obrien-Smith,1,17.0,16326.00
"Dunlap Walter Collins, and",1,2.0,14118.00
Johnson-West,1,13.0,17768.00
Peterson-Lee,1,3.0,11303.00
Kennedy-Perkins,1,23.0,26715.00
"Delacruz Hawkins and Johnson,",1,25.0,48082.00
"James, Huber and Jenkins",1,6.0,11018.00
Clark-Murray,1,8.0,45655.00
"and Thomas Soto Williams,",1,16.0,6418.00
Silva-Huffman,1,11.0,46589.00
Vazquez-Bowen,1,15.0,39280.00
"Rodgers, and Galvan Reed",1,11.0,4428.00
"Rivera, and Cain Phillips",1,10.0,7805.00
"Johnson Butler, Hahn and",1,12.0,47929.00
"Miller and Oconnor Spencer,",1,21.0,49308.00
"Christensen and Sons",1,17.0,42822.00
"and Patterson Cortez, Ryan",1,3.0,28082.00
"Chapman Wiggins, Byrd and",1,16.0,6627.00
"Palmer and Odom, Ibarra",1,17.0,46834.00
"Nicholson and Hall Richardson,",1,3.0,37228.00
Rivera-Diaz,1,23.0,4139.00
"Harvey and Smith, Johnson",1,24.0,24763.00
"Collins, Nelson Owens and",1,23.0,22085.00
Colon-Phillips,1,16.0,8957.00
Rivera-Davis,1,29.0,18248.00
"Bailey and Meadows, Wheeler",1,12.0,9955.00
Houston-Thomas,1,9.0,38340.00
"Huerta and Boyle, Bush",1,1.0,25914.00
"Sons and Adams",1,8.0,30216.00
"Stone Brown Brown, and",1,4.0,37027.00
"Ewing Ltd",1,25.0,3968.00
"Herrera Pearson Collins, and",1,14.0,38201.00
"Martin Silva Mays, and",1,7.0,12564.00
"and Avery, Jarvis Hopkins",1,4.0,32064.00
"Erickson Inc",1,18.0,11182.00
Newman-Smith,1,4.0,32233.00
Lambert-Chambers,1,11.0,18160.00
Reynolds-Goodwin,1,15.0,24595.00
"Liu and Ponce, Black",1,24.0,6855.00
Palmer-Hayden,1,23.0,43366.00
"Lee Gonzalez and Harris,",1,2.0,7458.00
Hurst-Bailey,1,12.0,19654.00
"Smith Dean Reed, and",1,10.0,19372.00
"Simon Fields and Garcia,",1,30.0,25070.00
Davis-Martin,1,23.0,35751.00
"Anderson and Fletcher, Brown",1,11.0,14892.00
"Ltd King",1,18.0,41511.00
"Rodriguez and Mullen, Cummings",1,26.0,38576.00
"and Sons Mccall",1,23.0,13026.00
Tyler-Cox,1,24.0,2648.00
"Carter Ltd",1,15.0,18788.00
"and Morrison Lang Foley,",1,24.0,22894.00
"Roberts and Hamilton Doyle,",1,2.0,30165.00
"Campbell and Miller Holland,",1,12.0,31695.00
"Harrington PLC",1,13.0,23635.00
"Graham, and Lee Graves",1,24.0,4628.00
"and Sons Benson",1,5.0,17762.00
"Hernandez Dean, Phillips and",1,30.0,1520.00
"PLC Rose",1,29.0,13988.00
"Inc Bryan",1,30.0,10012.00
Perez-Contreras,1,23.0,25526.00
"Murphy Lowery and Baker,",1,12.0,28466.00
"Ltd Harvey",1,30.0,45460.00
Brandt-Woodward,1,15.0,29963.00
"and Sons Rodriguez",1,2.0,37208.00
"and Stevenson, Lopez Richardson",1,16.0,43773.00
"and Moreno Sons",1,22.0,1032.00
"Matthews Poole, Herring and",1,21.0,23727.00
King-Murray,1,14.0,35080.00
"Jenkins Johnson Strong, and",1,29.0,41516.00
"Chandler, and Olson Holland",1,28.0,20520.00
Gomez-Khan,1,27.0,6153.00
"and Hunter Sons",1,19.0,23917.00
"Greene and Sawyer, Hayes",1,22.0,19806.00
"Rivera Sons and",1,11.0,30044.00
"Newman Diaz, Garrett and",1,1.0,49489.00
Odom-Torres,1,24.0,7511.00
"Bridges, and Meyer Roberts",1,20.0,5546.00
"Ashley Gonzalez, and Ward",1,17.0,31134.00
"Sons and Riley",1,29.0,36401.00
"Scott Hill, and Price",1,22.0,20854.00
"Evans, Meyer Graham and",1,4.0,21229.00
"Ford Russell Bell, and",1,18.0,39985.00
"Sons Norman and",1,19.0,34958.00
"Hardin Inc",1,13.0,23584.00
"Allison Rodgers Sullivan, and",1,25.0,957.00
"Adams, and Johns Molina",1,15.0,47435.00
"Lyons Gilbert, White and",1,6.0,25016.00
Carr-Taylor,1,17.0,49349.00
"Hunter, Kim Parker and",1,17.0,5149.00
"Anderson, and Lyons Hart",1,21.0,12472.00
"Ramirez, and Davenport Mclaughlin",1,24.0,28605.00
"Rhodes, French Fowler and",1,22.0,7244.00
Mora-Harris,1,21.0,16189.00
"Barnett, Cunningham Bauer and",1,4.0,35663.00
"Vargas Group",1,4.0,36337.00
Cortez-Dixon,1,12.0,43689.00
Cuevas-Alexander,1,4.0,33163.00
Douglas-Lawson,1,1.0,11716.00
"Sons Williamson and",1,27.0,43342.00
"and Burns, Hernandez Edwards",1,24.0,3879.00
"Inc Burnett",1,20.0,20149.00
"Figueroa, Blevins Wilson and",1,30.0,49216.00
Blanchard-Fisher,1,10.0,34034.00
Roberts-Miller,1,14.0,45004.00
"Rivera Stone, Bowen and",1,20.0,7075.00
"Silva PLC",1,27.0,43773.00
Spencer-Weiss,1,24.0,14714.00
Graham-Myers,1,26.0,11980.00
Hughes-Clarke,1,15.0,24174.00
"and Garner Ware Green,",1,7.0,17593.00
Brown-Harrison,1,26.0,43634.00
Jackson-Mitchell,1,30.0,46628.00
Huber-Gray,1,23.0,37408.00
Joyce-Pacheco,1,18.0,25322.00
"LLC Jennings",1,27.0,17530.00
"Calderon Ramirez, and Roberts",1,20.0,46672.00
Gordon-Potter,1,1.0,5347.00
"Martin and Barker Reid,",1,18.0,5052.00
"Coleman, Foster and Luna",1,20.0,34563.00
"Taylor, and Garcia Lester",1,27.0,7111.00
"Cook Hoffman Parsons, and",1,10.0,9507.00
"LLC Coleman",1,7.0,20874.00
"and Payne Brock, Navarro",1,6.0,32984.00
King-Hobbs,1,16.0,33813.00
Gilbert-Garcia,1,2.0,12595.00
Morgan-Mills,1,15.0,25110.00
"Huber, Rodriguez Chapman and",1,23.0,225.00
Newman-Wiggins,1,11.0,34083.00
"Marquez and Goodman, Price",1,7.0,24764.00
"Byrd LLC",1,14.0,27186.00
Burke-Mcgee,1,5.0,2906.00
"and Gross, Herrera Clark",1,7.0,7077.00
"Mcconnell Meyers and Yates,",1,25.0,18029.00
Monroe-Richardson,1,19.0,20628.00
Brown-Schneider,1,30.0,39306.00
Bush-Maxwell,1,11.0,23271.00
Fuller-Hunter,1,19.0,22855.00
"Chang, Soto Porter and",1,1.0,7792.00
"Sellers and Lawson Hunter,",1,30.0,39016.00
"Gaines Alvarez, and Bryant",1,29.0,26546.00
Wallace-Johnson,1,27.0,20688.00
"Kennedy, Osborn Stone and",1,11.0,49359.00
"Cook Munoz, Kim and",1,14.0,46137.00
"and Higgins Thompson Gaines,",1,7.0,18409.00
"Mercer, Young Thompson and",1,9.0,44306.00
"and Sons Gregory",1,17.0,32463.00
"and Potts Herman Anderson,",1,12.0,43073.00
Norris-Walker,1,6.0,42328.00
"and Howard, Mitchell Perez",1,14.0,45892.00
"Russell Lee and Crawford,",1,3.0,13325.00
"Hester Group",1,1.0,17271.00
Oliver-White,1,21.0,37878.00
"LLC Austin",1,23.0,4496.00
Moore-Ellis,1,19.0,21884.00
Miller-Crawford,1,25.0,33658.00
Griffin-Noble,1,22.0,42183.00
Oconnor-Fuentes,1,8.0,8186.00
"Daniels Rogers, and Hunter",1,26.0,39012.00
Knight-Bush,1,20.0,49019.00
"Davis, and Brennan Whitaker",1,21.0,44557.00
"and Phillips, Collins Doyle",1,21.0,6534.00
Obrien-Lambert,1,30.0,21038.00
Jenkins-Smith,1,2.0,14579.00
"Griffin Ltd",1,21.0,22179.00
"and Arnold Johnson, Edwards",1,16.0,42752.00
Stone-Warren,1,4.0,11025.00
"Escobar Parks and Brown,",1,25.0,27115.00
"and Williams Walters Mcbride,",1,24.0,21994.00
"Inc Koch",1,27.0,8651.00
"and Sons Brooks",1,17.0,4138.00
"Townsend Meadows and Campbell,",1,17.0,15490.00
"Ramirez and Wells Burton,",1,25.0,21931.00
"and Barrett, Russell Phillips",1,19.0,3532.00
"and Lopez, Bowen Barrett",1,1.0,20582.00
"Hayes Smith, and Young",1,4.0,24271.00
"Gaines and Alvarado Mitchell,",1,9.0,16871.00
"and Hopkins Robinson, Warren",1,20.0,40576.00
"Smith, Shaw Stevens and",1,12.0,6509.00
"Ltd Hopkins",1,28.0,19374.00
Barber-Nunez,1,25.0,24647.00
"and Lopez Alvarez, Bishop",1,9.0,35157.00
"and Hernandez, Kline Hall",1,19.0,43234.00
"Woodard LLC",1,14.0,32713.00
"and Flores, Fuentes Thompson",1,26.0,33457.00
"and Patrick Moore Morrow,",1,27.0,9920.00
Price-Garcia,1,13.0,23404.00
"Wells Inc",1,13.0,17974.00
"and Duncan Larsen, Jackson",1,10.0,36210.00
"Hill, Miller and Castillo",1,2.0,24219.00
"Gentry King, Moses and",1,15.0,40712.00
Brown-Mueller,1,30.0,9618.00
"and Campbell, Sellers Gutierrez",1,1.0,17450.00
Brock-Cunningham,1,26.0,14085.00
"Williams Torres, Lewis and",1,9.0,34137.00
Fleming-Baker,1,29.0,48940.00
"Inc Ali",1,13.0,575.00
Boone-Martinez,1,1.0,32946.00
"Winters, and Cox Black",1,29.0,35391.00
"and Gonzalez Smith, Miller",1,16.0,3971.00
Howell-Humphrey,1,17.0,4258.00
"Salinas Harris and Miranda,",1,2.0,20969.00
"Evans Stewart Green, and",1,27.0,22342.00
"Jordan PLC",1,4.0,5612.00
"Group Patel",1,16.0,46016.00
Lee-Wilson,1,5.0,15241.00
"PLC Stein",1,23.0,18132.00
"Horton, Fox and Walsh",1,23.0,37801.00
"Freeman Powell, Erickson and",1,28.0,26712.00
"Ortiz Lewis, and Berg",1,12.0,26763.00
"Salazar LLC",1,10.0,42690.00
Jenkins-Watts,1,1.0,20054.00
"Alexander Williams and Dixon,",1,29.0,24920.00
"PLC Jennings",1,13.0,32955.00
Mcclure-Crane,1,23.0,18932.00
"Sons and Fields",1,9.0,18541.00
"Acosta, Gordon Smith and",1,24.0,8417.00
"Brown, Garcia and Gutierrez",1,8.0,28828.00
"Berg Martin and Gonzalez,",1,1.0,2965.00
Edwards-Orr,1,28.0,42790.00
"Gilbert Parker, and Lucas",1,9.0,11507.00
"Duffy Lucero and Williams,",1,11.0,9836.00
Sutton-Morse,1,11.0,32553.00
"Fleming, Thomas and Reed",1,13.0,27760.00
Mccoy-Hendrix,1,23.0,50536.00
"Ramirez and James, Suarez",1,9.0,46552.00
"and King Anderson, Scott",1,20.0,42700.00
Bush-Taylor,1,13.0,2280.00
"and Hobbs Jensen Johnson,",1,20.0,14552.00
"and Pennington, Bender Morrison",1,25.0,45286.00
Allen-Bond,1,13.0,4676.00
Anderson-Higgins,1,11.0,14764.00
Brewer-Thomas,1,27.0,18728.00
"Stone PLC",1,12.0,17587.00
"Booker, and Sandoval Molina",1,28.0,25326.00
"Morris Preston, and Cohen",1,17.0,13232.00
"Hamilton Brown and Crane,",1,2.0,29423.00
"Pratt, Rollins Hart and",1,24.0,31630.00
"Fisher, Ruiz and Turner",1,3.0,32193.00
Oliver-Wiggins,1,7.0,45417.00
Powell-Miller,1,19.0,41136.00
Holland-Nelson,1,11.0,39792.00
Rodriguez-Thomas,1,23.0,18521.00
Brown-Simmons,1,17.0,20313.00
"Rangel Inc",1,8.0,1890.00
Johnson-Tyler,1,27.0,17788.00
Hardy-Burch,1,10.0,24074.00
"LLC Boone",1,13.0,24680.00
Diaz-Brown,1,4.0,26377.00
"Norton Keller, Cook and",1,30.0,39000.00
"PLC Herrera",1,20.0,30709.00
"and Baldwin Mcneil, Simmons",1,11.0,42672.00
"Lewis Parrish Wolf, and",1,1.0,44590.00
Perez-Scott,1,12.0,24481.00
"Peterson and Clark Thompson,",1,17.0,14134.00
"Crawford Group",1,28.0,31349.00
Newman-Bishop,1,15.0,13836.00
"Armstrong Group",1,27.0,14377.00
Johnston-Brown,1,24.0,11916.00
"and Howard King, Martinez",1,8.0,1548.00
Robinson-Marshall,1,9.0,28218.00
"Group Cardenas",1,3.0,31124.00
Ryan-Garcia,1,22.0,32412.00
Larsen-Lee,1,29.0,48976.00
"Holden and Wagner, Powell",1,15.0,45981.00
"Pearson, and Thomas Reilly",1,7.0,15993.00
Foster-Mendoza,1,16.0,19395.00
Wiley-Lawrence,1,10.0,1148.00
"Hayes LLC",1,29.0,27675.00
"Ramirez and Wilson, Mays",1,4.0,40145.00
Bishop-Jensen,1,16.0,6310.00
"and Hughes Thomas, Newton",1,5.0,49825.00
Harris-Ellison,1,30.0,46199.00
Garcia-Jensen,1,28.0,6978.00
Dickerson-Cameron,1,13.0,23646.00
"Sons and Ramirez",1,11.0,34073.00
Castaneda-Martinez,1,26.0,15900.00
"Stanley and Sons",1,2.0,14825.00
Moss-Olsen,1,1.0,21590.00
Gonzalez-Franklin,1,3.0,12193.00
"and Nelson, Graves Flowers",1,5.0,13460.00
"Daugherty and Robinson, Wood",1,28.0,21023.00
Horton-Gilbert,1,9.0,35114.00
"Chen, Kelly and Martin",1,13.0,32496.00
"Cobb, Osborne Hatfield and",1,27.0,46607.00
Hansen-Peterson,1,27.0,15091.00
Herrera-Malone,1,28.0,16949.00
Fitzpatrick-Perez,1,18.0,8818.00
Anderson-Morales,1,10.0,38063.00
Barnes-Hurst,1,20.0,2315.00
Gonzales-Liu,1,7.0,14828.00
"Morales and Singleton Crane,",1,18.0,24389.00
White-Jennings,1,7.0,43789.00
"and Green Patton, Johnson",1,2.0,21282.00
Carter-Watson,1,13.0,18002.00
Walters-Clements,1,21.0,25163.00
Fischer-Henry,1,2.0,7414.00
"Sutton and Gordon Singleton,",1,24.0,10239.00
Green-Robinson,1,26.0,16256.00
"Raymond, and Turner Sanchez",1,9.0,11026.00
Williams-Clark,1,20.0,20808.00
Thompson-White,1,14.0,13566.00
"Steele Roberts and Wright,",1,22.0,13778.00
"Cameron Hill and Beck,",1,21.0,17663.00
"and Morales Wright Travis,",1,18.0,47358.00
"Fox and Sons",1,19.0,8879.00
"Gonzalez Crawford, Fuller and",1,14.0,34203.00
"LLC Chase",1,1.0,47565.00
Roberts-Haney,1,13.0,16047.00
Anthony-Ortiz,1,1.0,36888.00
"Wells, Ruiz and Lopez",1,26.0,23008.00
Elliott-Reyes,1,16.0,49131.00
"Reeves, and Price Munoz",1,27.0,38836.00
"Holder Johnson, Morales and",1,25.0,12843.00
"White Ltd",1,28.0,35919.00
Davis-Dean,1,12.0,37223.00
"Boone Simpson Le, and",1,16.0,13832.00
Robinson-Alvarado,1,22.0,24390.00
"Ltd Webb",1,24.0,43747.00
"Pollard, Marks Martinez and",1,20.0,23674.00
Cunningham-Delacruz,1,9.0,4990.00
"Day and Stuart, Kelly",1,4.0,29219.00
Stafford-Collins,1,26.0,5985.00
"Kennedy, and Wood Gill",1,2.0,23260.00
"PLC Goodwin",1,13.0,20988.00
Mendez-Walton,1,14.0,45685.00
"Knapp Holden, Clark and",1,30.0,1021.00
"LLC Mendez",1,10.0,28766.00
"Ltd Solomon",1,13.0,16050.00
Boyle-Humphrey,1,11.0,45073.00
"and Myers, Vargas Sharp",1,9.0,30258.00
"Doyle PLC",1,12.0,40173.00
"Inc Bartlett",1,12.0,29091.00
"Armstrong, Johnson and Dyer",1,16.0,36081.00
"Martin Choi and Kelley,",1,15.0,10073.00
"Harper and Hunt Rose,",1,29.0,26675.00
Serrano-Lopez,1,9.0,32842.00
"Lawrence Inc",1,11.0,6459.00
Lamb-Ward,1,12.0,1702.00
Hansen-Adkins,1,3.0,6303.00
Hull-Davis,1,22.0,47737.00
"Logan and Randolph, Wells",1,22.0,24738.00
"Russell and Stewart Wang,",1,7.0,4579.00
Mitchell-Cooper,1,23.0,18082.00
Morales-Rodriguez,1,2.0,38967.00
"Baldwin and Sons",1,2.0,3058.00
Kim-Rodriguez,1,7.0,10652.00
Mcknight-Padilla,1,20.0,34447.00
Clements-Hubbard,1,25.0,10849.00
"Smith, Barnes Garcia and",1,6.0,21669.00
"Huang and Sons",1,6.0,47220.00
Stein-Romero,1,19.0,8704.00
Bates-Clark,1,21.0,49018.00
"Salinas LLC",1,27.0,22483.00
Baker-Mcintosh,1,7.0,1793.00
"PLC Alvarez",1,14.0,7078.00
"and Ruiz Davis, Stewart",1,7.0,35048.00
"Smith King and Rowland,",1,21.0,33108.00
"Taylor Keith and Wood,",1,1.0,44853.00
"Ferguson Lewis, Foster and",1,25.0,41187.00
"Malone Simmons and Collins,",1,14.0,10451.00
Hunter-Watkins,1,15.0,34735.00
"Group Durham",1,24.0,15104.00
"Inc Hess",1,26.0,48892.00
"and Walters, Mcconnell Figueroa",1,2.0,47865.00
"Atkins Mahoney, and Kidd",1,20.0,18363.00
Hernandez-Todd,1,20.0,14632.00
"Pena Moore and Colon,",1,19.0,28199.00
Wilson-Willis,1,4.0,28837.00
"Quinn Clayton Boyd, and",1,17.0,29750.00
"Willis Davis, Nguyen and",1,19.0,4987.00
"Ferguson Group",1,25.0,8901.00
"Wells and Huffman, Newman",1,24.0,2139.00
"Torres, and Lawrence Wright",1,18.0,25084.00
Mahoney-Williams,1,23.0,28400.00
"Barrera Long and Vargas,",1,8.0,39805.00
"Gamble Ltd",1,25.0,4875.00
Melton-Casey,1,12.0,2992.00
"Frey Group",1,14.0,10880.00
"Marsh Ltd",1,16.0,20832.00
"Patterson and Lopez Gonzalez,",1,13.0,48465.00
Gomez-Silva,1,28.0,46818.00
"Gordon Inc",1,27.0,22617.00
Alexander-Nichols,1,26.0,14077.00
"Mcmahon, Woods and Fields",1,19.0,43793.00
"Sons Cook and",1,10.0,42676.00
"Bradshaw Clark, Riley and",1,27.0,7130.00
"Jones Mitchell and Parsons,",1,3.0,6234.00
"Green, and Perez Huff",1,14.0,17514.00
Sanchez-Nelson,1,14.0,50408.00
"Sons Compton and",1,7.0,3350.00
Lee-Lee,1,9.0,25566.00
Palmer-Curry,1,3.0,33491.00
Perez-Guzman,1,29.0,10026.00
White-Vaughan,1,15.0,19180.00
"and Perez, Bradford Evans",1,6.0,2942.00
Mcbride-Beck,1,13.0,47586.00
Carter-Walker,1,22.0,26469.00
"Lambert, and Barry Jones",1,26.0,45773.00
Rodriguez-Navarro,1,18.0,1782.00
"Walker Inc",1,5.0,14721.00
"and Gibson Bishop Greer,",1,11.0,32163.00
Davis-Watts,1,5.0,49361.00
"and Nelson Taylor, Gordon",1,1.0,5354.00
"Howe Alvarado, George and",1,13.0,9330.00
Webb-Simmons,1,7.0,4443.00
"Sheppard PLC",1,16.0,30613.00
"Ball Velez, and Ramirez",1,22.0,30656.00
Washington-Coleman,1,16.0,20756.00
Beard-Burke,1,4.0,39728.00
Andrade-French,1,30.0,6500.00
"Montes, Williams and Ferguson",1,29.0,28398.00
"Stewart Sharp and Miller,",1,4.0,12192.00
"Reed, Mcdonald Wallace and",1,19.0,26480.00
Snyder-Waller,1,9.0,44405.00
"King, Moore and Flowers",1,4.0,18446.00
Ferguson-Garcia,1,30.0,22418.00
Mccarty-Anderson,1,1.0,22458.00
"Williams Estrada Carlson, and",1,24.0,15902.00
"Washington Campbell and Lara,",1,25.0,20448.00
Warner-Kent,1,15.0,18661.00
Fitzgerald-Hale,1,13.0,20494.00
Lewis-Miller,1,15.0,10873.00
"Morris Kerr Stanley, and",1,19.0,47690.00
"Ruiz and Schaefer, Smith",1,20.0,1428.00
"Garcia, Benjamin Brooks and",1,29.0,27214.00
"Moreno Rice and Hernandez,",1,4.0,22868.00
"and Fleming Oconnell, Barron",1,11.0,16194.00
Chambers-Bradley,1,13.0,28980.00
"West, and Parks Baker",1,4.0,32216.00
Wright-Montgomery,1,6.0,32157.00
"Burton Robertson, Wilson and",1,26.0,28461.00
"LLC Quinn",1,29.0,27023.00
Long-Williamson,1,23.0,31039.00
"and Keller Sons",1,4.0,1808.00
"Macias and Cardenas Oliver,",1,26.0,33375.00
"Cantu Martinez, Ibarra and",1,6.0,41763.00
"Mcfarland and Nguyen Hall,",1,9.0,17637.00
Guerrero-Ibarra,1,3.0,7644.00
Brewer-Colon,1,5.0,31995.00
"PLC Wilson",1,12.0,11490.00
"Garcia Simmons and Harrison,",1,17.0,29873.00
Hodges-Lane,1,22.0,40358.00
Lara-Alexander,1,3.0,16461.00
Spencer-Webb,1,16.0,519.00
"Ltd Schwartz",1,29.0,34505.00
"Clements Miller, and Kramer",1,8.0,49017.00
"Miller Smith, and Anderson",1,18.0,10298.00
Moore-Morales,1,15.0,41384.00
"Lane Riley and Fisher,",1,19.0,3841.00
Macdonald-Randolph,1,26.0,39119.00
"Nunez PLC",1,9.0,24785.00
"and Morgan Johnson, Williams",1,23.0,43490.00
Steele-Bradford,1,10.0,20141.00
"Cooper and Tanner, Prince",1,29.0,47412.00
Wells-Johnson,1,12.0,32777.00
Montoya-Thomas,1,25.0,35225.00
"and Knight Howe Humphrey,",1,23.0,48131.00
"Wright Huber Middleton, and",1,16.0,21539.00
Ryan-Nguyen,1,3.0,25539.00
Cardenas-Estes,1,12.0,6597.00
"and Smith Wilson, Ortiz",1,2.0,16131.00
Barnes-Sheppard,1,17.0,39679.00
"LLC Rogers",1,11.0,10352.00
"and Anderson, Richards Benson",1,14.0,470.00
Beard-Freeman,1,6.0,43197.00
Peters-Jones,1,27.0,39317.00
Anderson-Martin,1,23.0,22652.00
Rodriguez-Harris,1,29.0,14039.00
"Martinez Gonzalez, Sullivan and",1,24.0,31793.00
"Johnson and Wright Brady,",1,14.0,41603.00
"Williams, Holt Clayton and",1,11.0,10308.00
"and Garcia Williamson, Wallace",1,26.0,12664.00
"and Cole Simmons Sanders,",1,13.0,37167.00
"Quinn Ltd",1,2.0,23295.00
"Wiggins and Sims, Gordon",1,27.0,36850.00
Wolfe-Gonzales,1,9.0,16129.00
"Morales, Austin Edwards and",1,23.0,26625.00
"and White, Sherman Hartman",1,28.0,34705.00
Smith-Barnett,1,29.0,14951.00
"Hayes and Ruiz, Carroll",1,18.0,3950.00
"Ltd Mann",1,10.0,12374.00
"Lucas Stevens, and Hurst",1,27.0,6738.00
"Wright Fox, and Hartman",1,16.0,4967.00
"Inc Moyer",1,24.0,13317.00
"Sons and Boyd",1,28.0,10283.00
Day-Ritter,1,27.0,17926.00
"Wagner PLC",1,8.0,11386.00
"Jackson, Craig Johnson and",1,28.0,44587.00
Hughes-Sanchez,1,18.0,29040.00
Anderson-Moore,1,9.0,31438.00
Johnson-Roberts,1,23.0,6892.00
Shea-Rodriguez,1,14.0,25971.00
"Santos Rivera Weber, and",1,1.0,4428.00
"and Pena Rivera Henderson,",1,23.0,18161.00
"Allen, and Velasquez Wilcox",1,18.0,10987.00
Hall-Cox,1,10.0,47231.00
"and Mitchell Kelly, Walker",1,4.0,30218.00
"and White, Wall Charles",1,23.0,42349.00
"Edwards Group",1,30.0,48462.00
"and Mclaughlin Martin Morrow,",1,14.0,5380.00
Johnson-Foley,1,4.0,13081.00
Figueroa-Wall,1,25.0,11795.00
"Kelly, and Santos Jones",1,29.0,33606.00
"Jordan Smith Whitehead, and",1,1.0,43041.00
