id,delivery_satisfaction,food_quality_satisfaction,delivery_time_satisfaction,order_accuracy,delivery_satisfaction_level,food_quality_level
1975,5,4,2,No,High,High
1976,5,5,5,Yes,High,High
1977,2,2,1,Yes,Medium,Medium
1978,1,5,3,Yes,Low,High
1979,5,1,5,Yes,High,Low
1980,5,3,4,No,High,Medium
1981,3,4,3,Yes,Medium,High
1982,4,5,2,Yes,High,High
1983,5,3,4,Yes,High,Medium
1984,2,5,1,Yes,Medium,High
1985,5,2,5,Yes,High,Medium
1986,1,4,3,Yes,Low,High
1987,3,3,2,No,Medium,Medium
1988,5,1,3,Yes,High,Low
1989,3,5,3,Yes,Medium,High
1990,5,3,4,Yes,High,Medium
1991,2,2,5,Yes,Medium,Medium
1992,4,5,3,Yes,High,High
1993,3,4,2,Yes,Medium,High
1994,1,5,1,Yes,Low,High
1995,5,4,5,Yes,High,High
1996,2,2,4,No,Medium,Medium
1997,4,5,4,Yes,High,High
1998,5,1,5,No,High,Low
1999,2,4,4,Yes,Medium,High
2000,5,5,1,Yes,High,High
2001,3,3,3,No,Medium,Medium
2002,1,5,5,Yes,Low,High
2003,5,4,4,Yes,High,High
2004,3,3,2,Yes,Medium,Medium
2005,2,3,4,Yes,Medium,Medium
2006,2,2,3,No,Medium,Medium
2007,4,5,4,Yes,High,High
2008,4,1,2,Yes,High,Low
2009,3,4,5,Yes,Medium,High
2010,5,5,4,No,High,High
2011,3,3,4,Yes,Medium,Medium
2012,1,2,5,Yes,Low,Medium
2013,5,5,1,Yes,High,High
2014,5,1,2,Yes,High,Low
2015,2,3,3,No,Medium,Medium
2016,1,5,4,Yes,Low,High
2017,5,4,3,Yes,High,High
2018,2,2,4,Yes,Medium,Medium
2019,3,3,2,Yes,Medium,Medium
2020,5,5,5,No,High,High
2021,3,3,3,Yes,Medium,Medium
2022,4,4,4,Yes,High,High
2023,5,5,5,Yes,High,High
2024,2,2,2,Yes,Medium,Medium
2025,5,5,5,Yes,High,High
2026,1,1,1,Yes,Low,Low
2027,3,3,3,No,Medium,Medium
2028,5,5,5,Yes,High,High
2029,3,3,3,Yes,Medium,Medium
2030,5,5,5,Yes,High,High
2031,2,2,2,Yes,Medium,Medium
2032,4,4,4,Yes,High,High
2033,3,3,3,Yes,Medium,Medium
2034,1,1,1,Yes,Low,Low
2035,5,3,4,Yes,High,Medium
2036,3,4,3,No,Medium,High
2037,4,5,2,Yes,High,High
2038,5,3,4,No,High,Medium
2039,2,5,1,Yes,Medium,High
2040,5,2,5,Yes,High,Medium
2041,1,4,3,No,Low,High
2042,3,3,2,Yes,Medium,Medium
2043,5,1,3,Yes,High,Low
2044,3,5,3,Yes,Medium,High
2045,5,3,4,Yes,High,Medium
2046,2,2,5,No,Medium,Medium
2047,4,5,3,Yes,High,High
2048,3,4,2,Yes,Medium,High
2049,1,5,1,Yes,Low,High
2050,5,4,5,No,High,High
2051,2,2,4,Yes,Medium,Medium
2052,4,5,4,Yes,High,High
2053,5,1,5,Yes,High,Low
2054,2,4,4,Yes,Medium,High
2055,5,5,1,No,High,High
2056,3,3,3,Yes,Medium,Medium
2057,1,5,5,Yes,Low,High
2058,5,4,4,Yes,High,High
2059,3,3,2,Yes,Medium,Medium
2060,2,3,4,No,Medium,Medium
2061,2,2,3,Yes,Medium,Medium
2062,4,5,4,Yes,High,High
2063,4,1,2,Yes,High,Low
2064,3,4,5,Yes,Medium,High
2065,5,5,4,Yes,High,High
2066,3,3,4,Yes,Medium,Medium
2067,1,2,5,No,Low,Medium
2068,5,5,1,Yes,High,High
2069,5,1,2,yes,High,Low
2070,2,3,3,no,Medium,Medium
2071,1,5,4,no,Low,High
2072,5,4,3,yes,High,High
2073,2,2,4,No,Medium,Medium
2074,3,3,2,No,Medium,Medium
2075,5,5,5,No,High,High
2076,3,3,3,No,Medium,Medium
2077,4,4,4,No,High,High
2078,5,5,5,No,High,High
2079,2,2,2,No,Medium,Medium
2080,5,5,5,No,High,High
2081,1,1,1,No,Low,Low
2082,3,3,3,No,Medium,Medium
2083,5,5,5,No,High,High
2084,3,3,3,No,Medium,Medium
2085,5,5,5,No,High,High
2086,2,2,2,No,Medium,Medium
2087,4,4,4,No,High,High
2088,3,3,3,No,Medium,Medium
2089,1,1,1,No,Low,Low
2090,5,5,5,No,High,High
2091,2,2,2,No,Medium,Medium
2092,4,4,4,No,High,High
2093,5,5,5,No,High,High
2094,2,2,2,No,Medium,Medium
2095,5,5,5,No,High,High
2096,3,3,3,No,Medium,Medium
2097,1,1,1,No,Low,Low
2098,5,5,5,No,High,High
2099,3,3,3,No,Medium,Medium
2100,2,2,2,No,Medium,Medium
2101,2,2,2,No,Medium,Medium
2102,4,4,4,No,High,High
2103,4,4,4,yes,High,High
2104,3,3,3,no,Medium,Medium
2105,5,5,5,yes,High,High
2106,3,3,3,no,Medium,Medium
2107,1,1,1,no,Low,Low
2108,5,5,5,yes,High,High
2109,5,5,5,yes,High,High
2110,2,2,2,no,Medium,Medium
2111,1,1,1,no,Low,Low
2112,5,5,5,yes,High,High
2113,2,2,2,no,Medium,Medium
2114,3,3,3,no,Medium,Medium
2115,5,5,5,yes,High,High
2116,3,3,3,no,Medium,Medium
2117,5,3,4,yes,High,Medium
2118,3,4,3,no,Medium,High
2119,4,5,2,yes,High,High
2120,5,3,4,yes,High,Medium
2121,2,5,1,no,Medium,High
2122,5,2,5,yes,High,Medium
2123,1,4,3,no,Low,High
2124,3,3,2,no,Medium,Medium
2125,5,1,3,yes,High,Low
2126,3,5,3,no,Medium,High
2127,5,3,4,yes,High,Medium
2128,2,2,5,no,Medium,Medium
2129,4,5,3,yes,High,High
2130,3,4,2,no,Medium,High
2131,1,5,1,no,Low,High
2132,5,4,5,yes,High,High
2133,2,2,4,no,Medium,Medium
2134,4,5,4,yes,High,High
2135,5,1,5,yes,High,Low
2136,2,4,4,no,Medium,High
2137,5,5,1,yes,High,High
2138,3,3,3,no,Medium,Medium
2139,1,5,5,no,Low,High
2140,5,4,4,yes,High,High
2141,3,3,2,no,Medium,Medium
2142,2,3,4,no,Medium,Medium
2143,2,2,3,no,Medium,Medium
2144,4,5,4,yes,High,High
2145,4,1,2,yes,High,Low
2146,3,4,5,no,Medium,High
2147,5,5,4,yes,High,High
2148,3,3,4,no,Medium,Medium
2149,1,2,5,no,Low,Medium
2150,5,5,1,yes,High,High
2151,5,1,2,yes,High,Low
2152,2,3,3,no,Medium,Medium
2153,1,5,4,no,Low,High
2154,5,4,3,yes,High,High
2155,2,2,4,no,Medium,Medium
2156,3,3,2,no,Medium,Medium
2157,5,5,5,yes,High,High
2158,3,3,3,no,Medium,Medium
2159,4,4,4,yes,High,High
2160,5,5,5,yes,High,High
2161,2,2,2,no,Medium,Medium
2162,5,5,5,yes,High,High
2163,1,1,1,no,Low,Low
2164,3,3,3,Yes,Medium,Medium
2165,5,5,5,Yes,High,High
2166,3,3,3,Yes,Medium,Medium
2167,5,5,5,Yes,High,High
2168,2,2,2,Yes,Medium,Medium
2169,4,4,4,Yes,High,High
2170,3,3,3,Yes,Medium,Medium
2171,1,1,1,Yes,Low,Low
2172,5,5,5,Yes,High,High
2173,2,2,2,Yes,Medium,Medium
2174,4,4,4,Yes,High,High
2175,5,5,5,Yes,High,High
2176,2,2,2,Yes,Medium,Medium
2177,5,5,5,Yes,High,High
2178,3,3,3,Yes,Medium,Medium
2179,1,1,1,Yes,Low,Low
2180,5,5,5,Yes,High,High
2181,3,3,3,Yes,Medium,Medium
2182,2,2,2,Yes,Medium,Medium
2183,2,2,2,Yes,Medium,Medium
2184,4,4,4,Yes,High,High
2185,4,4,4,Yes,High,High
2186,3,3,3,Yes,Medium,Medium
2187,5,5,5,Yes,High,High
2188,3,3,3,Yes,Medium,Medium
2189,1,1,1,Yes,Low,Low
2190,5,5,5,Yes,High,High
2191,5,5,5,Yes,High,High
2192,2,2,2,Yes,Medium,Medium
2193,1,1,1,Yes,Low,Low
2194,5,5,5,Yes,High,High
2195,2,2,2,Yes,Medium,Medium
2196,3,3,3,no,Medium,Medium
2197,5,5,5,yes,High,High
2198,3,3,3,no,Medium,Medium
2199,4,4,4,yes,High,High
2200,5,5,5,yes,High,High
2201,2,2,2,no,Medium,Medium
2202,5,5,5,yes,High,High
2203,1,1,1,no,Low,Low
2204,3,3,3,no,Medium,Medium
2205,5,5,5,yes,High,High
2206,3,3,3,no,Medium,Medium
2207,5,5,5,yes,High,High
2208,2,2,2,no,Medium,Medium
2209,4,4,4,yes,High,High
2210,3,3,3,no,Medium,Medium
2211,1,1,1,no,Low,Low
2212,5,5,5,yes,High,High
2213,2,2,2,no,Medium,Medium
2214,4,4,4,yes,High,High
2215,5,5,5,yes,High,High
2216,2,2,2,no,Medium,Medium
2217,5,5,5,yes,High,High
2218,3,3,3,no,Medium,Medium
2219,1,1,1,no,Low,Low
2220,5,5,5,Yes,High,High
2221,3,3,3,Yes,Medium,Medium
2222,2,2,2,Yes,Medium,Medium
2223,2,2,2,Yes,Medium,Medium
2224,4,4,4,Yes,High,High
2225,4,4,4,Yes,High,High
2226,3,3,3,Yes,Medium,Medium
2227,5,5,5,No,High,High
2228,3,3,3,Yes,Medium,Medium
2229,1,1,1,No,Low,Low
2230,5,5,5,Yes,High,High
2231,5,5,5,Yes,High,High
2232,2,2,2,No,Medium,Medium
2233,1,1,1,Yes,Low,Low
2234,5,5,5,Yes,High,High
2235,2,2,2,Yes,Medium,Medium
2236,3,3,3,Yes,Medium,Medium
2237,5,5,5,No,High,High
2238,3,3,3,Yes,Medium,Medium
2239,4,4,4,Yes,High,High
2240,5,5,5,Yes,High,High
2241,2,2,2,No,Medium,Medium
2242,5,5,5,Yes,High,High
2243,1,1,1,Yes,Low,Low
2244,3,3,3,Yes,Medium,Medium
2245,5,5,5,Yes,High,High
2246,3,3,3,No,Medium,Medium
2247,5,5,5,Yes,High,High
2248,2,2,2,Yes,Medium,Medium
2249,4,4,4,Yes,High,High
2250,3,3,3,Yes,Medium,Medium
2251,1,1,1,No,Low,Low
2252,5,5,5,Yes,High,High
2253,2,2,2,Yes,Medium,Medium
2254,4,4,4,Yes,High,High
2255,5,5,5,Yes,High,High
2256,2,2,2,Yes,Medium,Medium
2257,5,5,5,Yes,High,High
2258,3,3,3,No,Medium,Medium
2259,1,1,1,Yes,Low,Low
2260,5,5,5,Yes,High,High
2261,3,3,3,Yes,Medium,Medium
2262,2,2,2,Yes,Medium,Medium
2263,2,2,2,Yes,Medium,Medium
2264,4,4,4,Yes,High,High
2265,4,4,4,Yes,High,High
2266,3,3,3,Yes,Medium,Medium
2267,5,5,5,No,High,High
2268,3,3,3,Yes,Medium,Medium
2269,1,1,1,No,Low,Low
2270,5,5,5,Yes,High,High
2271,5,5,5,Yes,High,High
2272,2,2,2,No,Medium,Medium
2273,1,1,1,Yes,Low,Low
2274,5,5,5,Yes,High,High
2275,2,2,2,Yes,Medium,Medium
2276,3,3,3,Yes,Medium,Medium
2277,5,5,5,No,High,High
2278,3,3,3,Yes,Medium,Medium
2279,4,4,4,Yes,High,High
2280,5,5,5,Yes,High,High
2281,2,2,2,No,Medium,Medium
2282,5,5,5,Yes,High,High
2283,1,1,1,Yes,Low,Low
2284,3,3,3,Yes,Medium,Medium
2285,5,5,5,Yes,High,High
2286,3,3,3,No,Medium,Medium
2287,5,5,5,Yes,High,High
2288,2,2,2,Yes,Medium,Medium
2289,4,4,4,Yes,High,High
2290,3,3,3,Yes,Medium,Medium
2291,1,1,1,No,Low,Low
2292,5,5,5,Yes,High,High
2293,2,2,2,Yes,Medium,Medium
2294,4,4,4,Yes,High,High
2295,5,5,5,Yes,High,High
2296,2,2,2,Yes,Medium,Medium
2297,5,5,5,Yes,High,High
2298,3,3,3,No,Medium,Medium
2299,1,1,1,Yes,Low,Low
2300,5,5,5,Yes,High,High
2301,3,3,3,Yes,Medium,Medium
2302,2,2,2,Yes,Medium,Medium
2303,2,2,2,Yes,Medium,Medium
2304,4,4,4,Yes,High,High
2305,4,4,4,Yes,High,High
2306,3,3,3,Yes,Medium,Medium
2307,5,5,5,No,High,High
2308,3,3,3,Yes,Medium,Medium
2309,1,1,1,No,Low,Low
2310,5,5,5,Yes,High,High
2311,5,5,5,Yes,High,High
2312,2,2,2,No,Medium,Medium
2313,1,1,1,Yes,Low,Low
2314,5,5,5,Yes,High,High
2315,2,2,2,Yes,Medium,Medium
2316,3,3,3,Yes,Medium,Medium
2317,5,5,5,No,High,High
2318,3,3,3,Yes,Medium,Medium
2319,4,4,4,Yes,High,High
2320,5,5,5,Yes,High,High
2321,2,2,2,No,Medium,Medium
2322,5,5,5,Yes,High,High
2323,1,1,1,Yes,Low,Low
2324,3,3,3,Yes,Medium,Medium
2325,5,5,5,Yes,High,High
2326,3,3,3,No,Medium,Medium
2327,5,5,5,Yes,High,High
2328,2,2,2,Yes,Medium,Medium
2329,4,4,4,Yes,High,High
2330,3,3,3,Yes,Medium,Medium
2331,1,1,1,No,Low,Low
2332,5,5,5,Yes,High,High
2333,2,2,2,Yes,Medium,Medium
2334,4,4,4,Yes,High,High
2335,5,5,5,Yes,High,High
2336,2,2,2,Yes,Medium,Medium
2337,5,5,5,Yes,High,High
2338,3,3,3,No,Medium,Medium
2339,1,1,1,Yes,Low,Low
2340,5,5,5,Yes,High,High
2341,3,3,3,Yes,Medium,Medium
2342,2,2,2,Yes,Medium,Medium
2343,2,2,2,Yes,Medium,Medium
2344,4,4,4,Yes,High,High
2345,4,4,4,Yes,High,High
2346,3,3,3,Yes,Medium,Medium
2347,5,5,5,No,High,High
2348,3,3,3,Yes,Medium,Medium
2349,1,1,1,No,Low,Low
2350,5,5,5,Yes,High,High
2351,5,5,5,Yes,High,High
2352,2,2,2,No,Medium,Medium
2353,1,1,1,Yes,Low,Low
2354,5,5,5,Yes,High,High
2355,2,2,2,Yes,Medium,Medium
2356,3,3,3,Yes,Medium,Medium
2357,5,5,5,No,High,High
2358,3,3,3,Yes,Medium,Medium
2359,4,4,4,Yes,High,High
2360,5,5,5,Yes,High,High
2361,2,2,2,No,Medium,Medium
2362,5,5,5,Yes,High,High
2363,1,1,1,Yes,Low,Low
2364,3,3,3,Yes,Medium,Medium
2365,5,5,5,Yes,High,High
2366,3,3,3,No,Medium,Medium
2367,5,5,5,Yes,High,High
2368,2,2,2,Yes,Medium,Medium
2369,4,4,4,Yes,High,High
2370,3,3,3,Yes,Medium,Medium
2371,1,1,1,No,Low,Low
2372,5,5,5,Yes,High,High
2373,2,2,2,Yes,Medium,Medium
2374,4,4,4,Yes,High,High
2375,5,5,5,Yes,High,High
2376,2,2,2,Yes,Medium,Medium
2377,5,5,5,Yes,High,High
2378,3,3,3,No,Medium,Medium
2379,1,1,1,Yes,Low,Low
2380,5,5,5,Yes,High,High
2381,3,3,3,Yes,Medium,Medium
2382,2,2,2,Yes,Medium,Medium
2383,2,2,2,Yes,Medium,Medium
2384,4,4,4,Yes,High,High
2385,4,4,4,Yes,High,High
2386,3,3,3,Yes,Medium,Medium
2387,5,5,5,No,High,High
2388,3,3,3,Yes,Medium,Medium
2389,1,1,1,No,Low,Low
2390,5,5,5,Yes,High,High
2391,5,5,5,Yes,High,High
2392,2,2,2,No,Medium,Medium
2393,1,1,1,Yes,Low,Low
2394,5,5,5,Yes,High,High
2395,2,2,2,Yes,Medium,Medium
2396,3,3,3,Yes,Medium,Medium
2397,5,5,5,No,High,High
2398,3,3,3,Yes,Medium,Medium
2399,4,4,4,Yes,High,High
2400,5,5,5,Yes,High,High
2401,2,2,2,No,Medium,Medium
2402,5,5,5,Yes,High,High
2403,1,1,1,Yes,Low,Low
2404,3,3,3,Yes,Medium,Medium
2405,5,5,5,Yes,High,High
2406,3,3,3,No,Medium,Medium
2407,5,5,5,Yes,High,High
2408,2,2,2,Yes,Medium,Medium
2409,4,4,4,Yes,High,High
2410,3,3,3,Yes,Medium,Medium
2411,1,1,1,No,Low,Low
2412,5,5,5,Yes,High,High
2413,2,2,2,Yes,Medium,Medium
2414,4,4,4,Yes,High,High
2415,5,5,5,Yes,High,High
2416,2,2,2,Yes,Medium,Medium
2417,5,5,5,Yes,High,High
2418,3,3,3,No,Medium,Medium
2419,1,1,1,Yes,Low,Low
2420,5,5,5,Yes,High,High
2421,3,3,3,Yes,Medium,Medium
2422,2,2,2,Yes,Medium,Medium
2423,2,2,2,Yes,Medium,Medium
2424,4,4,4,Yes,High,High
2425,4,4,4,Yes,High,High
2426,3,3,3,Yes,Medium,Medium
2427,5,5,5,No,High,High
2428,3,3,3,Yes,Medium,Medium
2429,1,1,1,No,Low,Low
2430,5,5,5,Yes,High,High
2431,5,5,5,Yes,High,High
2432,2,2,2,No,Medium,Medium
2433,1,1,1,Yes,Low,Low
2434,5,5,5,Yes,High,High
2435,2,2,2,Yes,Medium,Medium
2436,3,3,3,Yes,Medium,Medium
2460,5,5,5,Yes,High,High
2461,3,3,3,Yes,Medium,Medium
2462,4,2,2,Yes,High,Medium
2463,5,2,2,Yes,High,Medium
2464,2,4,4,Yes,Medium,High
2465,5,4,4,Yes,High,High
2466,1,3,3,Yes,Low,Medium
2467,3,5,5,No,Medium,High
2468,5,3,3,Yes,High,Medium
2469,3,1,1,No,Medium,Low
2470,5,5,5,Yes,High,High
2471,2,5,5,Yes,Medium,High
2472,4,2,2,No,High,Medium
2473,3,1,1,Yes,Medium,Low
2474,1,5,5,Yes,Low,High
2475,5,2,2,Yes,High,Medium
2476,2,3,3,Yes,Medium,Medium
2478,5,5,5,Yes,High,High
2479,2,3,3,Yes,Medium,Medium
2480,5,4,4,Yes,High,High
2481,3,5,5,No,Medium,High
2482,1,2,2,Yes,Low,Medium
2483,5,5,5,Yes,High,High
2484,3,1,1,Yes,Medium,Low
2485,2,3,3,Yes,Medium,Medium
2486,2,5,5,No,Medium,High
2487,4,3,3,Yes,High,Medium
2488,4,5,5,Yes,High,High
2489,3,2,2,Yes,Medium,Medium
2490,5,4,4,Yes,High,High
2491,3,3,3,No,Medium,Medium
2492,1,1,1,Yes,Low,Low
2493,5,5,5,Yes,High,High
2494,5,2,2,Yes,High,Medium
2495,2,4,4,Yes,Medium,High
2496,1,5,5,Yes,Low,High
2497,5,2,2,Yes,High,Medium
2498,2,5,5,No,Medium,High
2499,3,3,3,Yes,Medium,Medium
2500,5,1,1,Yes,High,Low
2501,3,5,5,Yes,Medium,High
2502,4,3,3,Yes,High,Medium
2503,5,2,2,Yes,High,Medium
2504,2,2,2,Yes,Medium,Medium
2505,5,4,4,Yes,High,High
2506,1,4,4,Yes,Low,High
2507,3,3,3,No,Medium,Medium
2508,5,5,5,Yes,High,High
2509,3,3,3,No,Medium,Medium
2510,5,1,1,Yes,High,Low
2511,2,5,5,Yes,Medium,High
2512,4,5,5,No,High,High
2513,3,2,2,Yes,Medium,Medium
2514,1,1,1,Yes,Low,Low
2515,5,5,5,Yes,High,High
2516,2,2,2,Yes,Medium,Medium
2517,4,3,3,No,High,Medium
2518,5,5,5,Yes,High,High
2519,2,3,3,Yes,Medium,Medium
2520,5,4,4,Yes,High,High
2521,3,5,5,No,Medium,High
2522,1,2,2,Yes,Low,Medium
2523,5,5,5,Yes,High,High
2524,3,1,1,Yes,Medium,Low
2525,2,3,3,Yes,Medium,Medium
2526,2,5,5,No,Medium,High
2527,4,3,3,Yes,High,Medium
2528,4,5,5,Yes,High,High
2529,3,2,2,Yes,Medium,Medium
2530,5,4,4,Yes,High,High
2531,3,3,3,No,Medium,Medium
2532,1,1,1,Yes,Low,Low
2533,5,5,5,Yes,High,High
2534,5,2,2,Yes,High,Medium
2535,2,4,4,Yes,Medium,High
2536,1,5,5,Yes,Low,High
2537,5,2,2,Yes,High,Medium
2538,2,5,5,No,Medium,High
2539,3,3,3,Yes,Medium,Medium
2540,5,1,1,Yes,High,Low
2541,3,5,5,Yes,Medium,High
2542,4,3,3,Yes,High,Medium
2543,5,2,2,Yes,High,Medium
2544,2,2,2,Yes,Medium,Medium
2545,5,4,4,Yes,High,High
2546,1,4,4,Yes,Low,High
2547,3,3,3,No,Medium,Medium
2548,5,5,5,Yes,High,High
2549,3,3,3,No,Medium,Medium
2550,5,1,1,Yes,High,Low
2551,2,5,5,Yes,Medium,High
2552,4,5,5,No,High,High
2553,3,2,2,Yes,Medium,Medium
2554,1,1,1,Yes,Low,Low
2555,5,5,5,Yes,High,High
2556,2,2,2,Yes,Medium,Medium
2557,4,3,3,No,High,Medium
2558,5,5,5,Yes,High,High
2559,2,3,3,Yes,Medium,Medium
2560,5,4,4,Yes,High,High
2561,3,5,5,No,Medium,High
2562,1,2,2,Yes,Low,Medium
2563,5,5,5,Yes,High,High
2564,3,1,1,Yes,Medium,Low
2565,2,3,3,Yes,Medium,Medium
2566,2,5,5,No,Medium,High
2567,4,3,3,Yes,High,Medium
2568,4,5,5,Yes,High,High
2569,3,2,2,Yes,Medium,Medium
2570,5,4,4,Yes,High,High
2571,3,3,3,No,Medium,Medium
2572,1,1,1,Yes,Low,Low
2573,5,5,5,Yes,High,High
2574,5,2,2,Yes,High,Medium
2575,2,4,4,Yes,Medium,High
2576,1,5,5,Yes,Low,High
2577,5,2,2,Yes,High,Medium
2578,2,5,5,No,Medium,High
2579,3,3,3,Yes,Medium,Medium
2580,5,1,1,Yes,High,Low
2581,3,5,5,Yes,Medium,High
2582,4,3,3,Yes,High,Medium
2583,5,2,2,Yes,High,Medium
2584,2,2,2,Yes,Medium,Medium
2585,5,4,4,Yes,High,High
2586,1,4,4,Yes,Low,High
2587,3,3,3,No,Medium,Medium
2588,5,5,5,Yes,High,High
2589,3,3,3,No,Medium,Medium
2590,5,1,1,Yes,High,Low
2591,2,5,5,Yes,Medium,High
2592,4,5,5,No,High,High
2593,3,2,2,Yes,Medium,Medium
2594,1,1,1,Yes,Low,Low
2595,5,5,5,Yes,High,High
2596,2,2,2,Yes,Medium,Medium
2597,4,3,3,No,High,Medium
2598,5,5,5,Yes,High,High
2599,2,3,3,Yes,Medium,Medium
2600,5,4,4,Yes,High,High
2601,3,5,5,No,Medium,High
2602,1,2,2,Yes,Low,Medium
2603,5,5,5,Yes,High,High
2604,3,1,1,Yes,Medium,Low
2605,2,3,3,Yes,Medium,Medium
2606,2,5,5,No,Medium,High
2607,4,3,3,Yes,High,Medium
2608,4,5,5,Yes,High,High
2609,3,2,2,Yes,Medium,Medium
2610,5,4,4,Yes,High,High
2611,3,3,3,No,Medium,Medium
2612,1,1,1,Yes,Low,Low
2613,5,5,5,Yes,High,High
2614,5,2,2,Yes,High,Medium
2615,2,4,4,Yes,Medium,High
2616,1,5,5,Yes,Low,High
2617,5,2,2,Yes,High,Medium
2618,2,5,5,No,Medium,High
2619,3,3,3,Yes,Medium,Medium
2621,5,5,5,yes,High,High
2622,3,3,3,no,Medium,Medium
2623,4,2,2,yes,High,Medium
2624,5,2,2,yes,High,Medium
2625,2,4,4,no,Medium,High
2626,5,4,4,yes,High,High
2627,1,3,3,no,Low,Medium
2628,3,5,5,no,Medium,High
2629,5,3,3,yes,High,Medium
2630,3,1,1,no,Medium,Low
2631,5,5,5,yes,High,High
2632,2,5,5,no,Medium,High
2633,4,2,2,yes,High,Medium
2634,3,1,1,no,Medium,Low
2635,1,5,5,no,Low,High
2636,5,2,2,yes,High,Medium
2637,2,3,3,no,Medium,Medium
2652,3,5,4,no,Medium,High
2653,1,3,5,no,Low,Medium
2654,5,4,2,yes,High,High
2655,5,5,5,yes,High,High
2656,2,2,1,no,Medium,Medium
2657,1,5,3,no,Low,High
2658,5,1,5,yes,High,Low
2659,2,3,3,no,Medium,Medium
2660,3,5,5,no,Medium,High
2661,5,3,2,yes,High,Medium
2662,3,5,4,no,Medium,High
2663,4,2,3,yes,High,Medium
2664,5,4,1,yes,High,High
2665,2,3,5,no,Medium,Medium
2666,5,1,2,yes,High,Low
2667,1,5,4,no,Low,High
2668,3,2,5,no,Medium,Medium
2669,5,4,2,yes,High,High
2670,3,5,5,no,Medium,High
2671,5,2,3,yes,High,Medium
2672,2,5,1,no,Medium,High
2673,4,3,5,yes,High,Medium
2674,3,1,3,no,Medium,Low
2675,1,5,2,no,Low,High
2676,5,3,2,yes,High,Medium
2677,2,2,4,no,Medium,Medium
2678,4,2,4,yes,High,Medium
2679,5,4,3,yes,High,High
2680,2,4,5,no,Medium,High
2681,5,3,3,yes,High,Medium
2682,3,5,1,no,Medium,High
2683,1,3,5,no,Low,Medium
2684,5,1,5,yes,High,Low
2685,3,5,2,no,Medium,High
2686,2,5,1,no,Medium,High
2687,2,2,5,no,Medium,Medium
2688,4,1,2,yes,High,Low
2689,4,5,3,yes,High,High
2690,3,2,5,no,Medium,Medium
2691,5,3,3,yes,High,Medium
2692,3,5,4,no,Medium,High
2693,1,3,5,no,Low,Medium
2694,5,4,2,yes,High,High
2695,5,5,5,yes,High,High
2696,2,2,1,no,Medium,Medium
2697,1,5,3,no,Low,High
2698,5,1,5,yes,High,Low
2699,2,3,3,no,Medium,Medium
2700,3,5,5,no,Medium,High
2701,5,3,2,yes,High,Medium
2702,3,5,4,no,Medium,High
2703,4,2,3,Yes,High,Medium
2704,5,4,1,Yes,High,High
2705,2,3,5,Yes,Medium,Medium
2706,5,1,2,Yes,High,Low
2707,1,5,4,Yes,Low,High
2708,3,2,5,Yes,Medium,Medium
2709,5,4,2,Yes,High,High
2710,3,5,5,No,Medium,High
2711,5,2,3,Yes,High,Medium
2712,2,5,1,No,Medium,High
2713,4,3,5,Yes,High,Medium
2714,3,1,3,Yes,Medium,Low
2715,1,5,2,No,Low,High
2716,5,3,2,Yes,High,Medium
2717,2,2,4,Yes,Medium,Medium
2718,4,2,4,Yes,High,Medium
2719,5,4,3,Yes,High,High
2720,2,4,5,No,Medium,High
2721,5,3,3,Yes,High,Medium
2722,3,5,1,Yes,Medium,High
2723,1,3,5,Yes,Low,Medium
2724,5,1,5,No,High,Low
2725,3,5,2,Yes,Medium,High
2726,2,5,1,Yes,Medium,High
2727,2,2,5,Yes,Medium,Medium
2728,4,1,2,Yes,High,Low
2729,4,5,3,No,High,High
2730,3,2,5,Yes,Medium,Medium
2731,5,3,3,Yes,High,Medium
2732,3,5,4,Yes,Medium,High
2733,1,3,5,Yes,Low,Medium
2734,5,4,2,No,High,High
2735,5,5,5,Yes,High,High
2736,2,2,1,Yes,Medium,Medium
2737,1,5,3,Yes,Low,High
2738,5,1,5,Yes,High,Low
2739,2,3,3,Yes,Medium,Medium
2740,3,5,5,Yes,Medium,High
2741,5,3,2,No,High,Medium
2742,3,5,4,Yes,Medium,High
2743,4,2,3,Yes,High,Medium
2744,5,4,1,Yes,High,High
2745,2,3,5,Yes,Medium,Medium
2746,5,1,2,Yes,High,Low
2747,1,5,4,Yes,Low,High
2748,3,2,5,Yes,Medium,Medium
2749,5,4,2,Yes,High,High
2750,3,5,5,No,Medium,High
2751,5,2,3,Yes,High,Medium
2752,2,5,1,No,Medium,High
2753,4,3,5,Yes,High,Medium
2754,3,1,3,Yes,Medium,Low
2755,1,5,2,No,Low,High
2756,5,3,2,Yes,High,Medium
2757,2,2,4,Yes,Medium,Medium
2758,4,2,4,Yes,High,Medium
2759,5,4,3,Yes,High,High
2760,2,4,5,No,Medium,High
2761,5,3,3,Yes,High,Medium
2762,3,5,1,Yes,Medium,High
2763,1,3,5,Yes,Low,Medium
2764,5,1,5,No,High,Low
2765,3,5,2,Yes,Medium,High
2766,2,5,1,Yes,Medium,High
2767,2,2,5,Yes,Medium,Medium
2768,4,1,2,Yes,High,Low
2769,4,5,3,No,High,High
2770,3,2,5,Yes,Medium,Medium
2771,5,3,3,Yes,High,Medium
2772,3,5,4,Yes,Medium,High
2773,1,3,5,Yes,Low,Medium
2774,5,4,2,No,High,High
2775,5,5,5,Yes,High,High
2776,2,2,1,Yes,Medium,Medium
